date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:01	27090/27090	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:02%20GMT	https://m.latindream.com/ficha/index/2272?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/2272572f.html	(from https://m.latindream.com/)
20:59:01	18824/18824	---M--	200	added ('OK')	image/jpeg	etag:%224988-5919cfd2-4a12304%22	https://planetaescort.cl/img/portadas/seccion/2201-2300/2272/activa/portada-2272-1584149514.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/2201-2300/2272/activa/portada-2272-1584149514.jpg	(from https://m.latindream.com/)
20:59:02	29652/29652	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:03%20GMT	https://m.latindream.com/ficha/index/4588?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4588572f.html	(from https://m.latindream.com/)
20:59:02	24534/24534	---M--	200	added ('OK')	image/jpeg	etag:%225fe7-591a1692-1887713%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4588/activa/portada-4588-1674658193.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4588/activa/portada-4588-1674658193.jpg	(from https://m.latindream.com/)
20:59:02	27375/27375	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:03%20GMT	https://m.latindream.com/ficha/index/4586?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4586572f.html	(from https://m.latindream.com/)
20:59:02	18648/18648	---M--	200	added ('OK')	image/jpeg	etag:%2248d8-5914c36c-128eaf3f%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4586/activa/portada-4586-649471607.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4586/activa/portada-4586-649471607.jpg	(from https://m.latindream.com/)
20:59:03	28911/28911	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:04%20GMT	https://m.latindream.com/ficha/index/4585?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4585572f.html	(from https://m.latindream.com/)
20:59:03	12920/12920	---M--	200	added ('OK')	image/jpeg	etag:%223278-5913475c-c5363f8%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4585/activa/portada-4585-407633432.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4585/activa/portada-4585-407633432.jpg	(from https://m.latindream.com/)
20:59:03	10737/10737	---M--	200	added ('OK')	image/jpeg	etag:%2229f1-5913435c-e222919%22	https://planetaescort.cl/img/portadas/seccion/3801-3900/3888/activa/portada-3888-1469756902.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/3801-3900/3888/activa/portada-3888-1469756902.jpg	(from https://m.latindream.com/)
20:59:03	35587/35587	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:04%20GMT	https://m.latindream.com/ficha/index/3888?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/3888572f.html	(from https://m.latindream.com/)
